No,date,new_cases
389,2021-02-17,2998.0
390,2021-02-18,2712.0
391,2021-02-19,2936.0
392,2021-02-20,2461.0
393,2021-02-21,3297.0
394,2021-02-22,2192.0
395,2021-02-23,2468.0
396,2021-02-24,3545.0
397,2021-02-25,1924.0
398,2021-02-26,2253.0
399,2021-02-27,2364.0
400,2021-02-28,2437.0
401,2021-03-01,1828.0
402,2021-03-02,1555.0
403,2021-03-03,1745.0
404,2021-03-04,2063.0
405,2021-03-05,2154.0
406,2021-03-06,1680.0
407,2021-03-07,1683.0
408,2021-03-08,1529.0
