,0,1,2,3,4,5,6,7
140,309796.0,964.0,2,0.0,0.0,0.0,21,20
141,310696.0,900.0,2,0.0,0.0,0.0,20,33
142,311461.0,765.0,2,0.0,0.0,0.0,33,16
143,312574.0,1113.0,2,0.0,0.0,0.0,16,15
144,313392.0,818.0,2,0.0,0.0,0.0,15,14
145,314542.0,1150.0,2,0.0,0.0,0.0,14,14
146,315581.0,1039.0,2,0.0,0.0,0.0,14,31
147,316729.0,1148.0,2,0.0,0.0,0.0,31,19
148,318190.0,1461.0,2,0.0,0.0,0.0,19,12
149,319232.0,1042.0,2,0.0,0.0,0.0,12,11
150,320343.0,1111.0,2,0.0,0.0,0.0,11,15
151,321064.0,721.0,2,0.0,0.0,0.0,15,16
152,322177.0,1113.0,2,0.0,0.0,0.0,16,21
153,323008.0,831.0,2,0.0,0.0,0.0,21,19
154,324203.0,1195.0,2,0.0,0.0,0.0,19,16
155,325263.0,1060.0,2,0.0,0.0,0.0,16,7
156,326595.0,1332.0,2,0.0,0.0,0.0,7,10
157,327643.0,1048.0,2,0.0,0.0,0.0,10,19
158,328620.0,977.0,2,0.0,0.0,0.0,19,16
159,329821.0,1201.0,2,0.0,0.0,0.0,16,25
160,330967.0,1146.0,2,0.0,0.0,0.0,25,15
161,332509.0,1542.0,2,0.0,0.0,0.0,15,14
162,333806.0,1297.0,2,0.0,0.0,0.0,14,13
163,334916.0,1110.0,2,0.0,0.0,0.0,13,9
164,336668.0,1752.0,2,0.0,0.0,0.0,9,15
165,338083.0,1415.0,2,0.0,0.0,0.0,15,13
166,339415.0,1332.0,0,0.0,0.0,0.0,13,21
167,340929.0,1514.0,0,0.0,0.0,0.0,21,22
168,342708.0,1779.0,0,0.0,0.0,0.0,22,18
169,344686.0,1978.0,0,0.0,0.0,0.0,18,26
170,346513.0,1827.0,0,0.0,0.0,0.0,26,23
171,349500.0,2987.0,0,0.0,0.0,0.0,23,23
172,352453.0,2953.0,0,0.0,0.0,0.0,23,23
173,354934.0,2481.0,0,0.0,0.0,0.0,23,31
174,357615.0,2681.0,0,0.0,0.0,0.0,31,31
175,360546.0,2931.0,0,0.0,0.0,0.0,31,32
176,364090.0,3544.0,0,0.0,0.0,0.0,32,21
177,367594.0,3504.0,0,0.0,0.0,0.0,21,27
178,370932.0,3338.0,0,0.0,0.0,0.0,27,31
179,373557.0,2625.0,0,0.0,0.0,0.0,31,56
180,376672.0,3115.0,0,0.0,0.0,0.0,56,28
181,380679.0,4007.0,0,0.0,0.0,0.0,28,40
182,384089.0,3410.0,0,0.0,0.0,0.0,40,44
183,388418.0,4329.0,0,0.0,0.0,0.0,44,39
184,392847.0,4429.0,0,0.0,0.0,0.0,39,33
185,396746.0,3899.0,0,0.0,0.0,0.0,33,42
186,401124.0,4378.0,0,0.0,0.0,0.0,42,52
187,406060.0,4936.0,0,0.0,0.0,0.0,52,58
188,412247.0,6187.0,0,0.0,0.0,0.0,58,65
189,418891.0,6644.0,0,0.0,0.0,0.0,65,56
190,425769.0,6878.0,0,0.0,0.0,0.0,56,56
191,431819.0,6050.0,0,0.0,0.0,0.0,56,45
192,437519.0,5700.0,0,0.0,0.0,0.0,45,58
193,441575.0,4056.0,0,0.0,0.0,0.0,58,79
194,448731.0,7156.0,0,0.0,0.0,0.0,79,59
195,455848.0,7117.0,0,0.0,0.0,0.0,59,59
196,462777.0,6929.0,0,0.0,0.0,0.0,59,77
197,469771.0,6994.0,0,0.0,0.0,0.0,77,77
198,482656.0,12885.0,0,0.0,0.0,0.0,77,82
199,505621.0,22965.0,0,0.0,0.0,0.0,82,101
200,518224.0,12603.0,0,0.0,0.0,0.0,101,101
201,532781.0,14557.0,0,0.0,0.0,0.0,101,103
202,546954.0,14173.0,0,0.0,0.0,0.0,103,111
203,564504.0,17550.0,0,0.0,0.0,0.0,111,119
204,578392.0,13888.0,0,0.0,0.0,0.0,119,98
205,593567.0,15175.0,0,0.0,0.0,0.0,98,115
206,606449.0,12882.0,0,0.0,0.0,0.0,115,126
207,620460.0,14011.0,0,0.0,0.0,0.0,126,162
208,637710.0,17250.0,0,0.0,0.0,0.0,162,127
209,657461.0,19751.0,0,0.0,0.0,0.0,127,163
210,676457.0,18996.0,0,0.0,0.0,0.0,163,155
211,692114.0,15657.0,0,0.0,0.0,0.0,155,151
212,708300.0,16186.0,0,0.0,0.0,0.0,151,144
213,725294.0,16994.0,0,0.0,0.0,0.0,144,200
