,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var5(t)
65,0.05458662,0.029844837,0.0,0.0,0.18019359,0.11913627
66,0.05493301,0.022027982,0.0,0.0,0.11913627,0.108711846
67,0.05524426,0.01978412,0.0,0.0,0.108711846,0.12137007
68,0.05561477,0.023567889,0.0,0.0,0.12137007,0.13030529
69,0.055995848,0.024242513,0.0,0.0,0.13030529,0.1347729
70,0.05641138,0.026442379,0.0,0.0,0.1347729,0.12807147
71,0.056810144,0.025371777,0.0,0.0,0.12807147,0.1399851
72,0.057156537,0.022027982,0.0,0.0,0.1399851,0.091586
73,0.057410818,0.01614701,0.0,0.0,0.091586,0.07446016
74,0.0576566,0.015604378,0.0,0.0,0.07446016,0.12062547
75,0.05798829,0.021089373,0.0,0.0,0.12062547,0.1392405
76,0.058325954,0.021470683,0.0,0.0,0.1392405,0.14370811
77,0.058635823,0.019696126,0.0,0.0,0.14370811,0.1370067
78,0.058920197,0.018068226,0.0,0.0,0.1370067,0.12732688
79,0.059175167,0.016191008,0.0,0.0,0.12732688,0.076693974
80,0.05935755,0.011556625,0.0,0.0,0.076693974,0.078183174
81,0.059522476,0.010442027,0.0,0.0,0.078183174,0.087863
82,0.059773773,0.015956355,0.0,0.0,0.087863,0.10573344
83,0.060039997,0.01690963,0.0,0.0,0.10573344,0.101265825
84,0.060312428,0.017305605,0.0,0.0,0.101265825,0.08041698
85,0.06054374,0.014680434,0.0,0.0,0.08041698,0.076693974
86,0.060785845,0.0153697245,0.0,0.0,0.076693974,0.067758754
87,0.06098982,0.012935207,0.0,0.0,0.067758754,0.05807893
88,0.061175194,0.01174728,0.0,0.0,0.05807893,0.10201043
89,0.061412018,0.0150324125,0.0,0.0,0.10201043,0.09381981
90,0.061660785,0.015795032,0.0,0.0,0.09381981,0.10424423
91,0.061890256,0.014563108,0.0,0.0,0.10424423,0.09679822
92,0.062124554,0.014871089,0.0,0.0,0.09679822,0.083395384
93,0.062350582,0.014343121,0.0,0.0,0.083395384,0.047654506
94,0.06250356,0.009679407,0.0,0.0,0.047654506,0.052122116
95,0.062646896,0.009063445,0.0,0.0,0.052122116,0.099776626
96,0.06285179,0.01299387,0.0,0.0,0.099776626,0.078183174
97,0.06305439,0.012847213,0.0,0.0,0.078183174,0.072970964
98,0.06323287,0.0113073075,0.0,0.0,0.072970964,0.083395384
99,0.06339297,0.010134046,0.0,0.0,0.083395384,0.08637379
100,0.06353975,0.009283432,0.0,0.0,0.08637379,0.06701415
101,0.06368538,0.009210102,0.0,0.0,0.06701415,0.029784067
102,0.06377887,0.005880973,0.0,0.0,0.029784067,0.04914371
103,0.06392129,0.009004782,0.0,0.0,0.04914371,0.05361132
104,0.064014085,0.0058369753,0.0,0.0,0.05361132,0.05286672
105,0.06402855,0.00083594874,0.0,0.0,0.05286672,0.049888313
106,0.06402993,0.0,0.0,0.0,0.049888313,0.04839911
107,0.064145245,0.0072742207,0.0,0.0,0.04839911,0.029784067
108,0.06428881,0.009078111,0.0,0.0,0.029784067,0.030528666
109,0.06440803,0.0075235385,0.0,0.0,0.030528666,0.0446761
110,0.06449049,0.005177016,0.0,0.0,0.0446761,0.03871929
111,0.06462464,0.008476814,0.0,0.0,0.03871929,0.042442296
112,0.06477096,0.0092541,0.0,0.0,0.042442296,0.041697696
113,0.06491866,0.009342094,0.0,0.0,0.041697696,0.030528666
114,0.065039024,0.0075968676,0.0,0.0,0.030528666,0.021593448
115,0.06522875,0.01202593,0.0,0.0,0.021593448,0.016381236
116,0.06537806,0.009444755,0.0,0.0,0.016381236,0.030528666
117,0.065501414,0.0077875224,0.0,0.0,0.030528666,0.033507075
118,0.06578624,0.018097557,0.0,0.0,0.033507075,0.03425168
119,0.065909825,0.007802188,0.0,0.0,0.03425168,0.033507075
120,0.06605844,0.009400757,0.0,0.0,0.033507075,0.033507075
121,0.066216245,0.009987388,0.0,0.0,0.033507075,0.010424422
122,0.066406675,0.0120699275,0.0,0.0,0.010424422,0.01787044
123,0.06657343,0.010559353,0.0,0.0,0.01787044,0.02233805
124,0.06670804,0.008506145,0.0,0.0,0.02233805,0.010424422
125,0.06681026,0.006438272,0.0,0.0,0.010424422,0.017125838
126,0.066939585,0.008168833,0.0,0.0,0.017125838,0.024571855
127,0.067118526,0.011336639,0.0,0.0,0.024571855,0.023082651
128,0.067295164,0.011189981,0.0,0.0,0.023082651,0.0119136255
129,0.06747203,0.011204647,0.0,0.0,0.0119136255,0.0052122115
130,0.06764431,0.0109113315,0.0,0.0,0.0052122115,0.019359643
131,0.06780235,0.010002054,0.0,0.0,0.019359643,0.014892032
132,0.06792937,0.008022175,0.0,0.0,0.014892032,0.010424422
133,0.068113595,0.0116739515,0.0,0.0,0.010424422,0.0119136255
134,0.06830815,0.012333911,0.0,0.0,0.0119136255,0.011169024
135,0.06851098,0.012861879,0.0,0.0,0.011169024,0.013402829
136,0.068687625,0.011189981,0.0,0.0,0.013402829,0.00446761
137,0.06885921,0.010867334,0.0,0.0,0.00446761,0.0074460167
138,0.06907559,0.013727159,0.0,0.0,0.0074460167,0.005956813
139,0.06923064,0.009811399,0.0,0.0,0.005956813,0.009679822
140,0.069438756,0.013199192,0.0,0.0,0.009679822,0.010424422
141,0.06966019,0.014049806,0.0,0.0,0.010424422,0.009679822
142,0.06986692,0.013111196,0.0,0.0,0.009679822,0.019359643
143,0.07004264,0.011131318,0.0,0.0,0.019359643,0.006701415
144,0.0702983,0.016235005,0.0,0.0,0.006701415,0.005956813
145,0.070486195,0.011908604,0.0,0.0,0.005956813,0.0052122115
146,0.070750356,0.016777638,0.0,0.0,0.0052122115,0.0052122115
147,0.07098902,0.015149739,0.0,0.0,0.0052122115,0.01787044
148,0.07125272,0.016748305,0.0,0.0,0.01787044,0.008935221
149,0.071588315,0.021338692,0.0,0.0,0.008935221,0.003723008
150,0.071827665,0.015193735,0.0,0.0,0.003723008,0.0029784064
151,0.07208286,0.016205672,0.0,0.0,0.0029784064,0.005956813
152,0.07224848,0.010486024,0.0,0.0,0.005956813,0.006701415
153,0.07250414,0.016235005,0.0,0.0,0.006701415,0.010424422
154,0.072695024,0.012099259,0.0,0.0,0.010424422,0.008935221
155,0.07296952,0.017437598,0.0,0.0,0.008935221,0.006701415
